Question,openai_gpt-3.5-turbo_1,openai_gpt-3.5-turbo_2,openai_gpt-4o-mini_1,openai_gpt-4o-mini_2,ollama_llama3,gpt-4o-mini_student_teacher,ollama_gemma_student_teacher,gpt-4o-mini_blind
David's Throne answered by gemma Bible Translator,95.0,95.0,95.0,95.0,90.0,90.0,90.0,90.0
Definition of Good answered by gemma Bible Translator,90.0,90.0,95.0,95.0,85.0,85.0,95.0,90.0
God as Good answered by gemma Bible Translator,95.0,95.0,95.0,90.0,90.0,90.0,90.0,85.0
Doing Good answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,90.0,95.0,90.0
Understanding Trespass in a Christian Context answered by gemma Bible Translator,95.0,95.0,90.0,95.0,85.0,80.0,85.0,90.0
Biblical Examples of Trespass answered by gemma Bible Translator,78.0,85.0,85.0,90.0,85.0,60.0,85.0,85.0
Translation of Trespass in Different Contexts answered by gemma Bible Translator,90.0,90.0,90.0,95.0,85.0,85.0,85.0,92.0
Understanding God's Call answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,90.0,95.0,90.0
Purpose in Calling answered by gemma Bible Translator,90.0,95.0,95.0,95.0,85.0,90.0,90.0,85.0
God's Intentionality answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,90.0,95.0,90.0
Understanding Lament answered by gemma Bible Translator,95.0,90.0,90.0,90.0,85.0,80.0,90.0,80.0
Biblical Examples of Lamentation answered by gemma Bible Translator,95.0,90.0,90.0,90.0,85.0,85.0,85.0,90.0
Translation of Lamentation answered by gemma Bible Translator,90.0,90.0,90.0,95.0,85.0,90.0,90.0,85.0
Understanding the Role of a Savior answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,80.0,90.0,80.0
Biblical References to Salvation answered by gemma Bible Translator,95.0,85.0,85.0,90.0,85.0,85.0,95.0,85.0
Translation of Savior answered by gemma Bible Translator,90.0,85.0,90.0,90.0,80.0,85.0,90.0,82.0
Messiah Prophecies answered by gemma Bible Translator,95.0,95.0,95.0,95.0,90.0,85.0,95.0,95.0
Role of the Messiah answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,85.0,90.0,90.0
Christ as Title answered by gemma Bible Translator,90.0,90.0,90.0,90.0,85.0,70.0,90.0,85.0
Temple Significance answered by gemma Bible Translator,95.0,95.0,95.0,95.0,80.0,90.0,85.0,95.0
Temple as God's Dwelling answered by gemma Bible Translator,95.0,95.0,95.0,90.0,80.0,90.0,85.0,85.0
Rebuilding the Temple answered by gemma Bible Translator,70.0,70.0,65.0,85.0,20.0,70.0,85.0,85.0
Role of Scribes in the Old Testament answered by gemma Bible Translator,90.0,90.0,90.0,90.0,40.0,60.0,90.0,85.0
Passover Significance answered by gemma Bible Translator,95.0,95.0,95.0,95.0,90.0,95.0,95.0,90.0
Annual Remembrance answered by gemma Bible Translator,90.0,90.0,90.0,90.0,90.0,80.0,90.0,85.0
Role of Blood in Passover answered by gemma Bible Translator,90.0,95.0,90.0,95.0,60.0,85.0,85.0,95.0
Understanding Yahweh's Power answered by gemma Bible Translator,95.0,95.0,95.0,95.0,80.0,85.0,90.0,90.0
Understanding Faith answered by gemma Bible Translator,90.0,90.0,90.0,90.0,70.0,80.0,85.0,90.0
Faith's Impact answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,85.0,85.0,90.0
The Faith Expressions answered by gemma Bible Translator,95.0,90.0,95.0,95.0,40.0,50.0,85.0,95.0
Ark Location answered by gemma Bible Translator,60.0,80.0,70.0,70.0,30.0,50.0,70.0,60.0
High Priest Access answered by gemma Bible Translator,95.0,95.0,95.0,95.0,60.0,70.0,85.0,90.0
Contents Of Ark answered by gemma Bible Translator,90.0,90.0,90.0,90.0,40.0,85.0,80.0,85.0
Understanding the Kingdom answered by gemma Bible Translator,90.0,90.0,85.0,90.0,85.0,85.0,90.0,85.0
Role of Jesus as Messiah answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,90.0,90.0,95.0
Value of the Kingdom answered by gemma Bible Translator,85.0,90.0,90.0,90.0,60.0,70.0,85.0,85.0
Understanding Birthright answered by gemma Bible Translator,95.0,95.0,95.0,95.0,60.0,80.0,85.0,85.0
Firstborn Blessing answered by gemma Bible Translator,90.0,95.0,95.0,95.0,90.0,85.0,85.0,90.0
Scriptural References 4 answered by gemma Bible Translator,95.0,90.0,90.0,95.0,85.0,90.0,85.0,90.0
God's Jealousy answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,95.0,90.0,90.0
Human Jealousy answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,90.0,95.0,95.0
Protectiveness in Relationships answered by gemma Bible Translator,95.0,95.0,95.0,95.0,90.0,85.0,90.0,90.0
Baptism Purpose answered by gemma Bible Translator,90.0,90.0,85.0,95.0,80.0,70.0,90.0,90.0
Baptism Methods answered by gemma Bible Translator,95.0,95.0,95.0,90.0,85.0,85.0,85.0,70.0
Baptism and Repentance answered by gemma Bible Translator,95.0,95.0,95.0,95.0,90.0,90.0,90.0,95.0
Understanding Woe answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,90.0,85.0,95.0
Biblical Usage of Woe answered by gemma Bible Translator,90.0,95.0,90.0,90.0,85.0,80.0,85.0,90.0
Personal Reflection answered by gemma Bible Translator,95.0,95.0,90.0,95.0,85.0,85.0,95.0,90.0
Conscience Understanding answered by gemma Bible Translator,95.0,95.0,95.0,95.0,80.0,85.0,85.0,85.0
Clear Conscience answered by gemma Bible Translator,95.0,90.0,85.0,95.0,60.0,50.0,85.0,90.0
Seared Conscience answered by gemma Bible Translator,90.0,95.0,90.0,95.0,85.0,88.0,85.0,85.0
Understanding Justice answered by gemma Bible Translator,95.0,95.0,95.0,95.0,90.0,90.0,95.0,95.0
God's Justification answered by gemma Bible Translator,95.0,95.0,95.0,90.0,95.0,90.0,95.0,95.0
Injustice in Society answered by gemma Bible Translator,95.0,95.0,90.0,95.0,85.0,70.0,85.0,85.0
Synagogue Purpose answered by gemma Bible Translator,90.0,85.0,80.0,80.0,60.0,60.0,70.0,50.0
Jesus in Synagogues answered by gemma Bible Translator,90.0,95.0,95.0,90.0,60.0,90.0,85.0,95.0
Synagogue Beliefs answered by gemma Bible Translator,90.0,90.0,90.0,95.0,60.0,70.0,85.0,85.0
Definition of Church answered by gemma Bible Translator,90.0,90.0,90.0,95.0,40.0,85.0,85.0,90.0
Local Church Meetings answered by gemma Bible Translator,90.0,85.0,90.0,90.0,80.0,70.0,85.0,85.0
Translation of Church answered by gemma Bible Translator,90.0,95.0,95.0,85.0,80.0,70.0,85.0,90.0
Definition of Angel answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,85.0,85.0,85.0
Archangel Michael answered by gemma Bible Translator,95.0,90.0,95.0,95.0,85.0,95.0,90.0,100.0
Role of Angels in Human Affairs answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,80.0,85.0,95.0
Covenant Definition answered by gemma Bible Translator,95.0,95.0,90.0,95.0,60.0,85.0,85.0,90.0
New Covenant Significance answered by gemma Bible Translator,95.0,95.0,95.0,90.0,80.0,80.0,85.0,90.0
Covenant Conditions answered by gemma Bible Translator,90.0,85.0,85.0,90.0,85.0,80.0,85.0,85.0
Understanding Satan's Role answered by gemma Bible Translator,95.0,95.0,90.0,95.0,60.0,85.0,95.0,90.0
Temptation and Resistance answered by gemma Bible Translator,98.0,95.0,95.0,95.0,90.0,90.0,95.0,90.0
Victory Over Evil answered by gemma Bible Translator,95.0,95.0,95.0,95.0,80.0,80.0,90.0,85.0
Understanding Perish answered by gemma Bible Translator,90.0,95.0,90.0,95.0,85.0,90.0,90.0,95.0
Eternal Consequences answered by gemma Bible Translator,95.0,95.0,95.0,95.0,92.0,95.0,90.0,90.0
Physical vs. Spiritual Death answered by gemma Bible Translator,95.0,95.0,95.0,90.0,80.0,85.0,85.0,85.0
Understanding Majesty answered by gemma Bible Translator,90.0,95.0,95.0,90.0,60.0,85.0,90.0,90.0
Biblical References 2 answered by gemma Bible Translator,95.0,80.0,85.0,90.0,60.0,70.0,85.0,85.0
Translation of Royal Titles answered by gemma Bible Translator,90.0,90.0,90.0,90.0,80.0,70.0,85.0,85.0
Understanding Mercy answered by gemma Bible Translator,90.0,90.0,90.0,90.0,85.0,80.0,90.0,95.0
Biblical Examples of Mercy answered by gemma Bible Translator,86.0,75.0,85.0,85.0,60.0,90.0,85.0,85.0
The Importance of Mercy answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,80.0,90.0,90.0
Definition of Saints answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,85.0,90.0,95.0
Source of Holiness answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,75.0,90.0,95.0
Translation of Saints answered by gemma Bible Translator,90.0,90.0,90.0,90.0,80.0,88.0,90.0,90.0
Understanding the Image of God in Humans answered by gemma Bible Translator,95.0,85.0,90.0,85.0,60.0,70.0,85.0,85.0
Nature of Christ as the Image of God answered by gemma Bible Translator,95.0,95.0,95.0,95.0,60.0,90.0,90.0,95.0
Translation Insights answered by gemma Bible Translator,95.0,90.0,90.0,90.0,60.0,85.0,85.0,85.0
Understanding Transgression answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,95.0,90.0,90.0
Transgression and Sin answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,85.0,95.0,95.0
Biblical Examples of Transgression answered by gemma Bible Translator,90.0,90.0,85.0,90.0,85.0,80.0,85.0,95.0
Understanding Divine Judgment answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,85.0,85.0,80.0
Judging Others answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,85.0,85.0,90.0
Nature of Judgment Day answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,90.0,90.0,95.0
Messianic Identity answered by gemma Bible Translator,95.0,95.0,90.0,95.0,85.0,87.0,95.0,85.0
Biblical Fulfillment answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,80.0,85.0,90.0
Authority of Jesus answered by gemma Bible Translator,95.0,95.0,95.0,95.0,90.0,90.0,90.0,90.0
Understanding Sacrifice answered by gemma Bible Translator,95.0,95.0,95.0,95.0,70.0,90.0,90.0,95.0
Comparison of Humans and Sheep answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,95.0,90.0,92.0
Symbolism of the Lamb answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,90.0,85.0,90.0
Understanding Heaven's Definition answered by gemma Bible Translator,95.0,90.0,90.0,85.0,80.0,85.0,85.0,85.0
Kingdom of Heaven answered by gemma Bible Translator,95.0,95.0,90.0,95.0,85.0,90.0,90.0,90.0
Biblical References to Heaven answered by gemma Bible Translator,85.0,85.0,85.0,89.0,80.0,80.0,85.0,90.0
Understanding the Name of God answered by gemma Bible Translator,90.0,92.0,90.0,95.0,60.0,85.0,85.0,90.0
Translation Practices answered by gemma Bible Translator,90.0,90.0,90.0,90.0,85.0,80.0,85.0,90.0
God's Revelation answered by gemma Bible Translator,95.0,95.0,90.0,95.0,85.0,85.0,90.0,95.0
Definition of a Miracle answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,90.0,90.0,90.0
Examples of Jesus' Miracles answered by gemma Bible Translator,88.0,90.0,90.0,90.0,85.0,90.0,85.0,95.0
Miracles and Belief answered by gemma Bible Translator,95.0,90.0,95.0,95.0,85.0,85.0,90.0,90.0
Understanding God's Will answered by gemma Bible Translator,95.0,95.0,90.0,95.0,85.0,85.0,95.0,95.0
God's Purpose answered by gemma Bible Translator,80.0,90.0,85.0,85.0,85.0,85.0,85.0,85.0
Interacting with God answered by gemma Bible Translator,80.0,90.0,85.0,90.0,85.0,85.0,95.0,92.0
Role of Prophets answered by gemma Bible Translator,85.0,85.0,90.0,90.0,70.0,75.0,85.0,92.0
Fulfillment of Prophecy answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,85.0,95.0,90.0
True vs False Prophets answered by gemma Bible Translator,80.0,80.0,85.0,85.0,80.0,85.0,95.0,95.0
Understanding of Sheol and Hades answered by gemma Bible Translator,90.0,90.0,93.0,80.0,85.0,85.0,85.0,80.0
Translation of Hades answered by gemma Bible Translator,90.0,90.0,90.0,85.0,80.0,80.0,85.0,85.0
Scriptural References 5 answered by gemma Bible Translator,90.0,90.0,90.0,90.0,85.0,80.0,85.0,70.0
Understanding the Name of God 2 answered by gemma Bible Translator,95.0,95.0,95.0,95.0,60.0,85.0,85.0,95.0
Translation of Divine Titles answered by gemma Bible Translator,90.0,90.0,90.0,85.0,60.0,85.0,85.0,90.0
Distinction in Divine Titles answered by gemma Bible Translator,90.0,95.0,95.0,95.0,95.0,90.0,95.0,85.0
Understanding God's Authority answered by gemma Bible Translator,95.0,92.0,95.0,90.0,85.0,90.0,90.0,90.0
Interpreting 'High' in God's Title answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,90.0,90.0,95.0
Biblical References to the Most High answered by gemma Bible Translator,90.0,85.0,90.0,95.0,60.0,85.0,85.0,90.0
Fellowship Meaning answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,85.0,90.0,95.0
Practices of Fellowship answered by gemma Bible Translator,95.0,90.0,90.0,95.0,80.0,80.0,85.0,95.0
Fellowship with God answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,85.0,85.0,95.0
Understanding the Title answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,75.0,90.0,75.0
Biblical References 3 answered by gemma Bible Translator,95.0,95.0,90.0,95.0,80.0,80.0,95.0,90.0
Second Coming answered by gemma Bible Translator,95.0,95.0,90.0,95.0,60.0,85.0,90.0,95.0
Sadducees and Resurrection answered by gemma Bible Translator,95.0,95.0,95.0,95.0,80.0,90.0,85.0,92.0
Role of Sadducees answered by gemma Bible Translator,70.0,85.0,80.0,80.0,60.0,75.0,80.0,65.0
Influence on Jesus' Crucifixion answered by gemma Bible Translator,90.0,85.0,90.0,85.0,60.0,75.0,85.0,82.0
Understanding Demons answered by gemma Bible Translator,95.0,95.0,95.0,95.0,92.0,90.0,90.0,86.0
Understanding Shaddai answered by gemma Bible Translator,95.0,95.0,90.0,90.0,60.0,80.0,85.0,85.0
Translating El Shaddai answered by gemma Bible Translator,90.0,95.0,90.0,90.0,40.0,70.0,85.0,90.0
Significance of Names answered by gemma Bible Translator,90.0,90.0,95.0,90.0,85.0,75.0,90.0,80.0
Understanding Foolishness answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,80.0,95.0,95.0
Observing Folly answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,90.0,95.0,95.0
Scriptural References 6 answered by gemma Bible Translator,90.0,90.0,90.0,90.0,80.0,90.0,85.0,90.0
Definition of Holy One answered by gemma Bible Translator,90.0,95.0,90.0,95.0,85.0,70.0,85.0,90.0
Usage in Scripture answered by gemma Bible Translator,95.0,90.0,95.0,95.0,60.0,85.0,85.0,95.0
Translation of Holy One answered by gemma Bible Translator,95.0,95.0,95.0,90.0,85.0,85.0,85.0,85.0
Zion's Historical Significance answered by gemma Bible Translator,95.0,95.0,95.0,90.0,70.0,90.0,85.0,90.0
Biblical Usage of Zion answered by gemma Bible Translator,95.0,90.0,95.0,95.0,70.0,90.0,85.0,85.0
Temple and Jerusalem answered by gemma Bible Translator,85.0,85.0,70.0,70.0,60.0,80.0,85.0,85.0
Understanding Amen answered by gemma Bible Translator,95.0,90.0,95.0,95.0,85.0,95.0,90.0,90.0
Jesus' Teachings answered by gemma Bible Translator,90.0,90.0,90.0,95.0,90.0,40.0,70.0,30.0
Translation of Amen answered by gemma Bible Translator,90.0,85.0,90.0,90.0,40.0,60.0,90.0,90.0
Exalting God answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,70.0,85.0,90.0
Self-Exaltation answered by gemma Bible Translator,95.0,95.0,95.0,95.0,90.0,90.0,95.0,90.0
Scriptural References 7 answered by gemma Bible Translator,95.0,90.0,90.0,90.0,85.0,60.0,85.0,85.0
Understanding the Cornerstone answered by gemma Bible Translator,95.0,90.0,95.0,95.0,95.0,80.0,90.0,90.0
Biblical References to the Cornerstone answered by gemma Bible Translator,95.0,90.0,90.0,95.0,90.0,80.0,90.0,87.0
Symbolism of the Cornerstone answered by gemma Bible Translator,90.0,90.0,95.0,95.0,85.0,85.0,85.0,90.0
Understanding Propitiation answered by gemma Bible Translator,90.0,95.0,95.0,95.0,85.0,60.0,90.0,95.0
Scriptural Basis answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,80.0,90.0,90.0
Relation to Atonement answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,85.0,90.0,95.0
Understanding Lordship answered by gemma Bible Translator,95.0,90.0,90.0,90.0,85.0,85.0,85.0,90.0
Translation and Interpretation answered by gemma Bible Translator,90.0,95.0,85.0,85.0,80.0,75.0,90.0,85.0
Biblical References 4 answered by gemma Bible Translator,90.0,90.0,95.0,90.0,85.0,85.0,85.0,95.0
Understanding Divine Nature answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,90.0,95.0,90.0
Interpreting Divine Glory answered by gemma Bible Translator,95.0,95.0,95.0,95.0,90.0,80.0,85.0,95.0
Authority from God answered by gemma Bible Translator,95.0,90.0,95.0,95.0,85.0,90.0,85.0,90.0
The Nature of Prayer answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,90.0,95.0,90.0
Purpose of Prayer answered by gemma Bible Translator,85.0,85.0,85.0,85.0,85.0,80.0,85.0,90.0
Biblical Examples of Prayer answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,85.0,85.0,95.0
Spiritual Salvation answered by gemma Bible Translator,85.0,85.0,80.0,85.0,60.0,85.0,85.0,90.0
Role of Jesus answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,75.0,95.0,85.0
Requirements for Salvation answered by gemma Bible Translator,95.0,90.0,95.0,95.0,80.0,60.0,95.0,90.0
Ephod significance answered by gemma Bible Translator,90.0,90.0,95.0,90.0,85.0,80.0,85.0,90.0
Ephod materials answered by gemma Bible Translator,80.0,60.0,80.0,70.0,50.0,70.0,70.0,70.0
Ephod idolatry answered by gemma Bible Translator,90.0,95.0,90.0,92.0,92.0,80.0,85.0,85.0
Ministry Definition answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,90.0,90.0,90.0
Old Testament Ministry answered by gemma Bible Translator,60.0,90.0,90.0,85.0,40.0,75.0,90.0,90.0
Service to God answered by gemma Bible Translator,90.0,85.0,85.0,90.0,85.0,60.0,85.0,85.0
Identity of Jesus answered by gemma Bible Translator,95.0,95.0,100.0,95.0,80.0,85.0,90.0,95.0
The Messiah answered by gemma Bible Translator,90.0,95.0,95.0,95.0,95.0,90.0,90.0,95.0
Nature of Miracles answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,90.0,95.0,95.0
Definition of Wisdom answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,95.0,90.0,95.0
Fruits of Wisdom answered by gemma Bible Translator,95.0,95.0,95.0,95.0,80.0,90.0,85.0,90.0
Obedience and Wisdom answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,70.0,90.0,95.0
Understanding Remnant answered by gemma Bible Translator,90.0,95.0,85.0,90.0,92.0,80.0,85.0,85.0
God's Chosen People answered by gemma Bible Translator,85.0,90.0,92.0,90.0,85.0,90.0,85.0,90.0
Historical Context answered by gemma Bible Translator,90.0,90.0,85.0,85.0,80.0,70.0,85.0,90.0
Definition of Sanctification answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,85.0,90.0,95.0
Sanctification in the New Testament answered by gemma Bible Translator,95.0,95.0,95.0,95.0,80.0,85.0,90.0,95.0
Calling to Sanctification answered by gemma Bible Translator,95.0,95.0,95.0,95.0,80.0,90.0,95.0,90.0
Understanding Bonds answered by gemma Bible Translator,95.0,95.0,95.0,90.0,85.0,85.0,85.0,95.0
Marriage and Bonds answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,85.0,95.0,90.0
Freedom from Sin answered by gemma Bible Translator,90.0,90.0,90.0,95.0,95.0,90.0,85.0,85.0
Definition of Holy Place answered by gemma Bible Translator,90.0,95.0,95.0,85.0,60.0,75.0,85.0,90.0
Access to the Most Holy Place answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,80.0,90.0,90.0
General Meaning of Holy Place answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,90.0,85.0,85.0
Biblical Hope Definition answered by gemma Bible Translator,90.0,90.0,95.0,95.0,90.0,85.0,90.0,95.0
Trust in God answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,75.0,95.0,90.0
Hope and Assurance answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,85.0,90.0,90.0
Definition of God answered by gemma Bible Translator,95.0,95.0,90.0,90.0,95.0,80.0,85.0,90.0
God's Name answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,70.0,95.0,95.0
Worship of God answered by gemma Bible Translator,90.0,95.0,90.0,95.0,85.0,90.0,90.0,85.0
Significance of Unleavened Bread answered by gemma Bible Translator,95.0,95.0,95.0,95.0,95.0,90.0,90.0,90.0
Historical Context 2 answered by gemma Bible Translator,90.0,90.0,85.0,90.0,80.0,90.0,90.0,85.0
Biblical References 5 answered by gemma Bible Translator,95.0,95.0,90.0,90.0,90.0,80.0,90.0,85.0
Understanding the Crucifixion answered by gemma Bible Translator,95.0,90.0,95.0,90.0,85.0,85.0,90.0,90.0
Role of Jewish Leaders answered by gemma Bible Translator,90.0,85.0,90.0,85.0,80.0,60.0,80.0,70.0
Response to the Crucifixion answered by gemma Bible Translator,80.0,70.0,50.0,40.0,60.0,50.0,70.0,50.0
Antichrist Identification answered by gemma Bible Translator,95.0,95.0,95.0,95.0,85.0,85.0,85.0,94.0
